sample_type	sample	distance	value
Sediment	Bathypelagic-Sediment	codon_distance	0.004158453030109342
Sediment	Bathypelagic-Sediment	codon_distance	0.01020656751535069
Sediment	Bathypelagic-Sediment	codon_distance	0.0233960531114858
Sediment	Bathypelagic-Sediment	codon_distance	0.03294037021315025
Sediment	Bathypelagic-Sediment	codon_distance	0.006564985903573683
Sediment	Bathypelagic-Sediment	codon_distance	0.016632979435047796
Sediment	Bathypelagic-Sediment	codon_distance	0.01754788247699595
Sediment	Bathypelagic-Sediment	codon_distance	0.010568088264092343
Sediment	Bathypelagic-Sediment	codon_distance	0.06058047079689102
Sediment	Bathypelagic-Sediment	codon_distance	0.019996130145170522
Sediment	Bathypelagic-Sediment	codon_distance	0.005012150980228212
Sediment	Bathypelagic-Sediment	codon_distance	0.01711479494056326
Sediment	Bathypelagic-Sediment	codon_distance	0.007879241086987912
Sediment	Bathypelagic-Sediment	codon_distance	0.0345301455914607
Sediment	Bathypelagic-Sediment	codon_distance	0.023967163607409296
Sediment	Bathypelagic-Sediment	codon_distance	0.014906008622872155
Sediment	Bathypelagic-Sediment	codon_distance	0.014792116280406544
Sediment	Bathypelagic-Sediment	codon_distance	0.020462379229147284
Sediment	Bathypelagic-Sediment	codon_distance	0.004363757161370414
Sediment	Bathypelagic-Sediment	codon_distance	0.009559166803806847
Sediment	Bathypelagic-Sediment	codon_distance	0.011121724931123376
Sediment	Bathypelagic-Sediment	codon_distance	0.009072676401418267
Sediment	Bathypelagic-Sediment	codon_distance	0.007775618201197808
Sediment	Bathypelagic-Sediment	codon_distance	0.008638374636191586
Sediment	Bathypelagic-Sediment	codon_distance	0.012149753746797633
Sediment	Bathypelagic-Sediment	codon_distance	0.020903118728392994
Sediment	Bathypelagic-Sediment	codon_distance	0.01793308381687847
Sediment	Bathypelagic-Sediment	codon_distance	0.016994816930433244
Sediment	Bathypelagic-Sediment	codon_distance	0.008663382659133469
Sediment	Bathypelagic-Sediment	codon_distance	0.012211124617938262
Sediment	Bathypelagic-Sediment	codon_distance	0.019418237135270865
Sediment	Bathypelagic-Sediment	codon_distance	0.014933213487792574
Sediment	Bathypelagic-Sediment	codon_distance	0.014650241983209784
Sediment	Bathypelagic-Sediment	codon_distance	0.041420717414156635
Sediment	Bathypelagic-Sediment	codon_distance	0.01592558979010961
Sediment	Bathypelagic-Sediment	codon_distance	0.011832706856901852
Sediment	Bathypelagic-Sediment	codon_distance	0.00816329041490935
Sediment	Bathypelagic-Sediment	codon_distance	0.008878643117122593
Sediment	Bathypelagic-Sediment	codon_distance	0.012988443528607788
Sediment	Bathypelagic-Sediment	codon_distance	0.014840471804739304
Sediment	Bathypelagic-Sediment	codon_distance	0.01274244107145909
Sediment	Bathypelagic-Sediment	codon_distance	0.010637596238758313
Sediment	Bathypelagic-Sediment	codon_distance	0.029116993161287925
Sediment	Bathypelagic-Sediment	codon_distance	0.007406179708436686
Sediment	Bathypelagic-Sediment	codon_distance	0.011043950566966214
Sediment	Bathypelagic-Sediment	codon_distance	0.024016016895736514
Sediment	Bathypelagic-Sediment	codon_distance	0.02115772072687642
Sediment	Bathypelagic-Sediment	codon_distance	0.011735823973280832
Sediment	Bathypelagic-Sediment	codon_distance	0.04485190773680136
Sediment	Bathypelagic-Sediment	codon_distance	0.02029837496008951
Sediment	Bathypelagic-Sediment	codon_distance	0.0720169271818436
Sediment	Bathypelagic-Sediment	codon_distance	0.012444766836787231
Sediment	Bathypelagic-Sediment	codon_distance	0.02622009342033997
Sediment	Bathypelagic-Sediment	codon_distance	0.014600599994775795
Sediment	Bathypelagic-Sediment	codon_distance	0.003456477574679824
Sediment	Bathypelagic-Sediment	codon_distance	0.019972815599591832
Sediment	Bathypelagic-Sediment	codon_distance	0.01742550682631209
Sediment	Bathypelagic-Sediment	codon_distance	0.01835907594742179
Sediment	Bathypelagic-Sediment	codon_distance	0.012687288862532843
Sediment	Bathypelagic-Sediment	codon_distance	0.013567973458595041
Sediment	Bathypelagic-Sediment	codon_distance	0.013540503275438542
Sediment	Bathypelagic-Sediment	codon_distance	0.013976674645955837
Sediment	Bathypelagic-Sediment	codon_distance	0.011079666697247787
Sediment	Bathypelagic-Sediment	codon_distance	0.04953068231170812
Sediment	Bathypelagic-Sediment	codon_distance	0.011261073596042816
Sediment	Bathypelagic-Sediment	codon_distance	0.00555610596049559
Sediment	Bathypelagic-Sediment	codon_distance	0.01257313852239825
Sediment	Bathypelagic-Sediment	codon_distance	0.0182908734510749
Sediment	Bathypelagic-Sediment	codon_distance	0.01267592465847459
Sediment	Bathypelagic-Sediment	codon_distance	0.009519956686787385
Sediment	Bathypelagic-Sediment	codon_distance	0.00874107092643207
Sediment	Bathypelagic-Sediment	codon_distance	0.004664743437522087
Sediment	Bathypelagic-Sediment	codon_distance	0.010812604912024489
Sediment	Bathypelagic-Sediment	codon_distance	0.015488685566182473
Sediment	Bathypelagic-Sediment	codon_distance	0.0120174369760488
Sediment	Bathypelagic-Sediment	codon_distance	0.08203873112791926
Sediment	Bathypelagic-Sediment	codon_distance	0.00477577892470683
Sediment	Bathypelagic-Sediment	codon_distance	0.018172702917488164
Sediment	Bathypelagic-Sediment	codon_distance	0.007179360426885087
Sediment	Bathypelagic-Sediment	codon_distance	0.017856145288172386
Sediment	Bathypelagic-Sediment	codon_distance	0.01179240788057511
Sediment	Bathypelagic-Sediment	codon_distance	0.016715777828481975
Sediment	Bathypelagic-Sediment	codon_distance	0.012954681117462856
Sediment	Bathypelagic-Sediment	codon_distance	0.009802436437839717
Sediment	Bathypelagic-Sediment	codon_distance	0.020617405612696572
Sediment	Bathypelagic-Sediment	codon_distance	0.038280152089451173
Sediment	Bathypelagic-Sediment	codon_distance	0.011644646601419553
Sediment	Bathypelagic-Sediment	codon_distance	0.003700977006122147
Sediment	Bathypelagic-Sediment	codon_distance	0.013231204777509298
Sediment	Bathypelagic-Sediment	codon_distance	0.01635145007200486
Sediment	Bathypelagic-Sediment	codon_distance	0.09069058908696888
Sediment	Bathypelagic-Sediment	codon_distance	0.049236830498568744
Sediment	Bathypelagic-Sediment	codon_distance	0.012899596062417829
Sediment	Bathypelagic-Sediment	codon_distance	0.01454967724209846
Sediment	Bathypelagic-Sediment	codon_distance	0.015253740319285641
Sediment	Bathypelagic-Sediment	codon_distance	0.02003115140496415
Sediment	Bathypelagic-Sediment	codon_distance	0.024868387400126084
Sediment	Bathypelagic-Sediment	codon_distance	0.021053702749832107
Sediment	Bathypelagic-Sediment	codon_distance	0.013306158403654343
Sediment	Bathypelagic-Sediment	codon_distance	0.023412144807875367
