Superkindom	Phylum	Class	distance	value
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.033064167323584165
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.012808201990685634
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.015619299855332678
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.010416442604655126
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.019067267942837404
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.012094246039075303
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.010963159286241198
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.01247557381749612
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.007257364394458306
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.008937695785906117
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.017865267129022065
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.007527155486558796
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.012045943578683101
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.008723227639282596
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.014182338763007323
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.04751132339061588
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.011267423111455168
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.0033707486069579633
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.009878052656512527
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.010546457459901876
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.010425504527105181
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.0077374591805504855
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.006632354403872149
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.0053702107475460574
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.006171207395895677
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.00430533164831846
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.013983417206043952
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.011964276313448314
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.08932658983013989
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.0042911272918096585
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.010225034174912308
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.024704867921607233
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.006971784043909366
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.042525904378983376
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.011011778914653936
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.006525324184815018
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.009346538143798929
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.004333022973229352
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.007890175132008822
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.010243298520149002
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.004867125291202273
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.02703342171718724
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.008467897257566588
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.012768713170110605
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.011620578513079726
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.015078066344228888
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.01282665331682026
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.005467800575396401
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.044162203104670984
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.00982722286108057
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.00683102209533846
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.0057177977519174234
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.037665238159504365
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.01767860423522466
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.0076854820013986715
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.007558280525730103
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.015179988593077329
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.0050480608293234355
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.007813274319550301
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.01616635058072094
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.005871100282857281
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.03306146164209601
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.007325330071998902
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.01082842741108841
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.008154023099572381
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.006584129643584771
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.04281406457150966
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.013556153664724594
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.021919317337428603
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.008437098983871325
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.039697127610700184
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.008119084961876815
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.009209411594410525
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.008525656162789375
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.006151483119688281
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.004983684494756631
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.04800952678391926
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.0038270436158398227
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.00719396796315891
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.010386700034543287
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.021410803050410175
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.023259883828651823
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.0046193616719004404
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.02237883658232264
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.007610363361641483
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.014163704384925856
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.014246634842637825
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.0009743106293328677
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.012008711637747901
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.036868962886464116
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.004644930286627563
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.007053067954437732
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.0047500511108200805
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.017936447561646734
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.012498180245135552
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.014719473827254572
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.12186737413232407
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.009523424635789856
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.05430020578957355
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.007012713347810684
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.02053392794838162
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.017630220820350956
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.004373775912835274
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.026994717067378885
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.007493924044345221
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.007448584826406762
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.004201429875770232
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.039712230591742996
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.005007379012697703
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.0032089971478171477
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.006525321359292176
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.007275469173636548
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.0020506182343623686
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.00997486700100526
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.004273280921881942
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.04609857204275639
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.010037151449441313
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.009693506824314944
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.11611588850697391
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.004849494976455712
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.020061586606450656
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.01169031874994356
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.007575002407628594
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.005618562842495684
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.010441150594960862
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.0026233658505815855
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.007206566116634823
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.05819317574021593
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.005954832518119457
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.004663736242172117
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.02462234274707191
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.009080150388108285
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.024798990769448807
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.016932982032587002
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.012288778437468518
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.112376332954988
Bacteria	Proteobacteria	Alphaproteobacteria	codon_distance	0.010520224365223329
