Sample_type	Host_group	sample	host_GC	host_protein_density	host_NARSC	host_CARSC	host_nucl	host_growth
Bathypelagic-Sediment	With_prophage	Sediment	0.6290314950544494	0.9153385480704476	0.3761	2.8868	4481402.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.6278368263732141	0.932694041425587	0.357	2.8092	3177891.0	4.25000268945656
Bathypelagic-Sediment	With_prophage	Sediment	0.546525643028752	0.9201220117405194	0.3377	2.8578	4211398.0	3.52590601672612
Bathypelagic-Sediment	With_prophage	Sediment	0.6261209000719675	0.892800464746765	0.3779	2.8755	4158824.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.3152337648876188	0.9269359495822439	0.3269	3.1179	3386426.0	3.1777187650179
Bathypelagic-Sediment	With_prophage	Sediment	0.4650470263393392	0.9498610515925469	0.3309	3.013	3922679.0	0.239245729991047
Bathypelagic-Sediment	With_prophage	Sediment	0.6439809732079925	0.9109233575838208	0.3762	2.8786	4493243.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.5975640645047832	1.0366451067263285	0.3634	2.9006	6380197.0	2.24656615405745
Bathypelagic-Sediment	With_prophage	Sediment	0.5846313009846437	0.9674981279873472	0.3436	2.8403	3429464.0	2.96794215124168
Bathypelagic-Sediment	With_prophage	Sediment	0.37589968459387907	0.9567669875971913	0.3139	3.0533	4465037.0	2.03939887501433
Bathypelagic-Sediment	With_prophage	Sediment	0.428335254903489	0.8312960139292771	0.3313	2.9263	3156517.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.43893746227522373	0.8477003041384872	0.3375	2.9331	3076559.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.43573577672562747	0.8448541203457821	0.3257	2.9493	6183316.0	2.59906725908492
Bathypelagic-Sediment	With_prophage	Sediment	0.45094736934181884	0.9103417983561676	0.3253	2.9493	6401991.0	2.84489734008247
Bathypelagic-Sediment	With_prophage	Sediment	0.4649449788838156	0.952806572056446	0.3304	3.0137	3897958.0	0.186076247713513
Bathypelagic-Sediment	With_prophage	Sediment	0.5646854351854806	0.9250222913810476	0.3583	2.904	4105847.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.5928314053728098	0.9489401879266072	0.3538	2.8609	5651568.0	2.66052823240332
Bathypelagic-Sediment	With_prophage	Sediment	0.399438732108824	0.8874067030719105	0.3241	2.9775	4759937.0	2.37433381624126
Bathypelagic-Sediment	With_prophage	Sediment	0.6045707838641856	0.9173714491264557	0.3463	2.9231	3869752.0	4.1056488572755
Bathypelagic-Sediment	With_prophage	Sediment	0.5798136493968429	0.8820612852918209	0.3653	2.9031	4535966.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.6423941298884592	0.9468094680946809	0.3533	2.7843	2777750.0	3.94945365571563
Bathypelagic-Sediment	With_prophage	Sediment	0.6476693926682645	0.9273051802693083	0.3627	2.8041	4232695.0	4.72589832407706
Bathypelagic-Sediment	With_prophage	Sediment	0.44903864671128496	0.999750359601051	0.324	3.0533	4206050.0	0.0887803416789239
Bathypelagic-Sediment	With_prophage	Sediment	0.6930607078016175	0.8757826853334624	0.3405	2.7668	7564662.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.3125046338425735	0.9292107626920918	0.3151	3.0904	4680316.0	1.48249564065387
Bathypelagic-Sediment	With_prophage	Sediment	0.37668358189110734	0.8630613251723498	0.3229	2.9729	4287065.0	3.38425807760582
Bathypelagic-Sediment	With_prophage	Sediment	0.5638037187692221	0.9986085236096316	0.3435	2.8669	4805687.0	3.06726250650617
Bathypelagic-Sediment	With_prophage	Sediment	0.6261016184115059	0.9581665445865856	0.3502	2.8075	3753001.0	2.81945710903167
Bathypelagic-Sediment	With_prophage	Sediment	0.5716212310952702	0.902069507912902	0.3551	2.8951	3789065.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.48721495892967415	0.9054225800469029	0.3371	2.9551	4982204.0	1.77560625030262
Bathypelagic-Sediment	With_prophage	Sediment	0.6388323119729791	0.9643937413248138	0.3648	2.8034	4704510.0	1.9127429042704
Bathypelagic-Sediment	With_prophage	Sediment	0.6494928763003894	0.9723386596505486	0.3489	2.8146	5724343.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.667289263690292	0.9639726863377249	0.3635	2.7736	3324783.0	4.69684981977621
Bathypelagic-Sediment	With_prophage	Sediment	0.6910759697227221	1.0437664116566874	0.3633	2.7848	4346758.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.2938875381442193	0.9801629107025075	0.324	3.1441	2386338.0	4.57458518481401
Bathypelagic-Sediment	With_prophage	Sediment	0.38131573863604007	1.0057784072167228	0.322	3.0811	4565618.0	0.67304366361502
Bathypelagic-Sediment	With_prophage	Sediment	0.6857741787863244	0.8696040485887557	0.3333	2.739	5060924.0	4.77455750458216
Bathypelagic-Sediment	With_prophage	Sediment	0.5001221428260026	0.919176521104405	0.3542	2.9433	4105849.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.28777093811908794	0.871250949378854	0.3171	3.1268	4707025.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.2784318105311508	1.2887084443633459	0.3183	3.2557	2542856.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.7256838040519051	0.8320551476585554	0.3989	2.7595	2801497.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.4350147127957794	0.8615256037469747	0.3252	2.9497	5743300.0	2.59885860662751
Bathypelagic-Sediment	With_prophage	Sediment	0.7163919280731921	0.953101033867063	0.3476	2.7532	2908401.0	2.26890468520745
Bathypelagic-Sediment	With_prophage	Sediment	0.7240687017186698	0.8965071501911734	0.3752	2.7251	7454486.0	1.69960417187739
Bathypelagic-Sediment	With_prophage	Sediment	0.40584621681437205	1.0005043931359787	0.3452	3.0937	3743112.0	1.21955584449317
Bathypelagic-Sediment	With_prophage	Sediment	0.6920217170342116	0.9204267056840059	0.3683	2.7553	4447937.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.5069429272019513	1.0431984427457461	0.3157	2.899	2174083.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.43366675162149587	0.9788507522642763	0.3471	3.0086	2832914.0	1.70583645655666
Bathypelagic-Sediment	With_prophage	Sediment	0.4898396047201505	1.1182751424748036	0.3679	3.0396	1282332.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.4797381586950906	1.055245337101188	0.3333	2.9711	3360356.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.41548306934999096	0.8973317979684032	0.3446	3.1048	3198371.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.5938172242967018	1.0314635993328152	0.3814	2.9242	2020430.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.5450045033680119	0.7718448586196156	0.362	2.9248	3547345.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.38320109898511784	0.9289802355582052	0.3469	3.0038	2001119.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.5119811101469679	1.0166241625672199	0.3439	2.8981	2417806.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.5185036830032917	1.0221158421717689	0.3554	2.9092	2244364.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.5538900067069081	0.9637687234518221	0.3504	2.857	2862720.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.5173737506658888	0.9282806118566247	0.3554	2.9081	2522944.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.5140195160895366	0.9399120467742098	0.3721	3.0077	2981130.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.5519191055494314	1.0638800629096021	0.3683	2.9109	1819754.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.33858755361104337	1.0218803618272172	0.3135	3.1411	1765373.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.43117190258089555	1.0341953963708577	0.3198	3.0433	2569147.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.5068391067362343	1.0425444809017506	0.3649	3.0199	2677104.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.6167858947424407	0.9814552130776397	0.4037	3.0656	1992959.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.36242639812437993	1.0900907431375466	0.3344	3.1962	1807189.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.587437397452087	1.0566193335566838	0.4141	3.0893	1862544.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.3962894987932873	1.0826738508166358	0.333	3.1355	1781700.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.555999713956577	0.9446302998053593	0.357	2.8951	3202311.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.3538924780654009	0.8353662436922072	0.3337	3.1239	3408086.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.37157614811377826	0.9442491863845989	0.3007	3.1258	1844852.0	4.47315320077342
Bathypelagic-Sediment	With_prophage	Sediment	0.4098601907898524	0.822645982040807	0.3039	3.0361	4186491.0	3.42988514803787
Bathypelagic-Sediment	With_prophage	Sediment	0.4298611909002126	1.0053426782328947	0.3528	3.1089	1671072.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.6588818857172634	0.7798457199227822	0.3712	2.8934	6678244.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.5254408376582776	0.9188436199712762	0.3599	2.9632	3521818.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.44521171463016573	0.9452803553198674	0.3441	3.0833	2804459.0	NA
Bathypelagic-Sediment	With_prophage	Sediment	0.5322848703008203	0.8412307735620355	0.3674	2.9782	3267831.0	NA
